trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
139,False,"{'a': 0.5, 'e': 0.9712261473374447}",20,0,-73.52722499681003,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
140,False,"{'a': 0.5, 'e': 0.9708126788587816}",20,0,-174.1506949931721,"{0: 13, 1: 0, 2: 1, 3: 3, 4: 3}",0
141,False,"{'a': 0.5, 'e': 0.9703963048355768}",20,0,-193.76390361075093,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 4}",0
142,False,"{'a': 0.5, 'e': 0.9699770265139955}",30,18,-69.39810051549394,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 1}",1
143,False,"{'a': 0.5, 'e': 0.9695548451488957}",20,1,-6.938654862728931,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.9691297620038235}",20,6,-63.31542325985984,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
145,False,"{'a': 0.5, 'e': 0.96870177835101}",25,0,-90.01603642413866,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.9682708954713671}",20,0,-114.05147099094486,"{0: 10, 1: 5, 2: 2, 3: 2, 4: 1}",0
147,False,"{'a': 0.5, 'e': 0.9678371146544841}",30,0,-55.859033532837124,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.967400437198623}",20,0,-116.81700491701311,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
149,False,"{'a': 0.5, 'e': 0.9669608644107155}",30,8,-73.84528975336646,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 1}",1
150,False,"{'a': 0.5, 'e': 0.9665183976063587}",25,0,-90.03680228994669,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.9660730381098112}",30,0,-192.40026151422117,"{0: 17, 1: 1, 2: 9, 3: 0, 4: 3}",0
152,False,"{'a': 0.5, 'e': 0.965624787253989}",25,0,-49.594834045802024,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.9651736463804619}",25,0,-108.65794496453529,"{0: 14, 1: 0, 2: 10, 3: 1, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.964719616839449}",25,0,-132.27616479277756,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
155,False,"{'a': 0.5, 'e': 0.964262699989815}",25,0,-235.99162051753257,"{0: 10, 1: 4, 2: 5, 3: 3, 4: 3}",0
156,False,"{'a': 0.5, 'e': 0.9638028971990659}",25,0,-83.03358910711329,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.9633402098433452}",20,0,-52.37946659852297,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.9628746393074297}",25,0,-158.97889190895452,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
159,False,"{'a': 0.5, 'e': 0.9624061869847248}",35,0,-161.70551496354557,"{0: 16, 1: 9, 2: 7, 3: 3, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.9619348542772613}",20,0,-130.4232372486434,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
161,False,"{'a': 0.5, 'e': 0.9614606425956905}",20,0,-171.51145516246035,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
162,False,"{'a': 0.5, 'e': 0.9609835533592802}",20,0,-129.72090028629512,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
163,False,"{'a': 0.5, 'e': 0.9605035879959103}",20,0,-159.68896151320348,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
164,False,"{'a': 0.5, 'e': 0.9600207479420689}",25,0,-53.82386155933427,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
165,False,"{'a': 0.5, 'e': 0.9595350346428476}",20,0,-113.70074154286557,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
166,False,"{'a': 0.5, 'e': 0.9590464495519374}",30,0,-122.15307875294151,"{0: 14, 1: 8, 2: 6, 3: 2, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.9585549941316241}",20,0,-49.52652993299647,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
168,False,"{'a': 0.5, 'e': 0.9580606698527845}",35,18,-15.538997724323156,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.9575634781948812}",25,0,-180.1044401517913,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
170,False,"{'a': 0.5, 'e': 0.9570634206459588}",20,0,-27.216062419899774,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
171,False,"{'a': 0.5, 'e': 0.9565604987026392}",30,0,-268.1115567634484,"{0: 14, 1: 1, 2: 9, 3: 2, 4: 4}",0
172,False,"{'a': 0.5, 'e': 0.956054713870117}",20,0,-53.31038698889917,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
173,False,"{'a': 0.5, 'e': 0.9555460676621553}",20,0,-123.09961380355668,"{0: 8, 1: 1, 2: 9, 3: 2, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.9550345616010809}",25,0,-177.8137724349556,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
175,False,"{'a': 0.5, 'e': 0.9545201972177801}",30,0,-121.1444330998419,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
176,False,"{'a': 0.5, 'e': 0.9540029760516935}",20,0,-86.04355483328625,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
177,False,"{'a': 0.5, 'e': 0.953482899650812}",25,0,-99.22359101362105,"{0: 13, 1: 5, 2: 5, 3: 2, 4: 0}",0
